province_name,jumlah_koperasi
JAWA TENGAH,8524
JAWA TIMUR,8494
ACEH,6534
SUMATERA UTARA,6102
JAWA BARAT,5970
NUSA TENGGARA TIMUR,3452
SUMATERA SELATAN,3265
SULAWESI SELATAN,3081
LAMPUNG,2651
PAPUA PEGUNUNGAN,2387
