Province_ID,No,Kabupaten/Kota,Jumlah Koperasi,Koperasi Memiliki NIB,Koperasi Memiliki NPWP,Koperasi Telah RAT (2025),Simpanan Pokok,Simpanan Wajib,Volume Transaksi (2026),Nilai Transaksi (2026)
6,2,KAB. EMPAT LAWANG,156,142,156,156,2.341.650,595.000,0,Rp 0
6,3,KAB. LAHAT,377,334,377,242,123.706.800,47.547.720,114.898,Rp 1.360.165.100
6,4,KAB. MUARA ENIM,256,176,255,149,41.930.050,14.760.400,0,Rp 0
6,5,KAB. MUSI BANYUASIN,242,235,242,228,97.430.000,29.620.000,0,Rp 0
6,6,KAB. MUSI RAWAS,199,166,199,181,36.970.000,5.420.000,43.500,Rp 79.210.000
6,7,KAB. MUSI RAWAS UTARA,89,77,89,24,34.420.000,1.375.000,3.500,Rp 38.500.000
6,8,KAB. OGAN ILIR,243,209,241,186,30.830.000,8.585.000,226.476,Rp 516.456.000
6,9,KAB. OGAN KOMERING ILIR,327,266,327,213,46.070.009,22.770.000,0,Rp 0
6,10,KAB. OGAN KOMERING ULU,157,96,157,118,23.800.050,8.410.000,0,Rp 0
6,11,KAB. OKU SELATAN,259,205,259,253,23.150.000,4.685.000,215.700,Rp 392.596.000
6,12,KAB. OKU TIMUR,312,192,312,268,65.345.000,21.075.000,371.951,Rp 677.795.000
6,13,KAB. PENUKAL ABAB LEMATANG ILIR,72,70,72,71,2.200.000,0,0,Rp 0
6,14,KOTA LUBUK LINGGAU,72,66,72,72,26.200.000,16.490.000,109.557,Rp 1.261.428.000
6,15,KOTA PAGAR ALAM,36,30,36,28,24.400.000,4.060.000,0,Rp 0
6,16,KOTA PALEMBANG,108,107,108,93,111.570.000,131.215.000,530.444,Rp 6.044.820.800
6,17,KOTA PRABUMULIH,45,45,45,26,40.740.000,21.305.000,500,Rp 10.500.000
7,1,KAB. BENGKULU SELATAN,155,146,155,135,31.155.000,10.260.580,0,Rp 0
7,2,KAB. BENGKULU TENGAH,144,43,144,46,5.400.000,2.525.000,0,Rp 0
7,3,KAB. BENGKULU UTARA,219,160,219,78,3.975.000,1.330.000,48.900,Rp 89.138.000
7,4,KAB. KAUR,196,113,196,130,5.600.000,3.605.000,0,Rp 0
7,5,KAB. KEPAHIANG,117,88,116,82,800.000,130.000,0,Rp 0
7,6,KAB. LEBONG,104,45,104,55,10.300.000,9.130.000,0,Rp 0
7,7,KAB. MUKOMUKO,150,105,149,78,4.750.000,1.410.000,119.335,Rp 217.570.880
7,8,KAB. REJANG LEBONG,156,66,156,80,27.351.400,2.185.705,0,Rp 0
7,9,KAB. SELUMA,200,169,200,183,33.005.000,22.625.000,0,Rp 0
7,10,KOTA BENGKULU,67,67,67,33,24.850.000,5.395.000,0,Rp 0
8,1,KAB. LAMPUNG BARAT,135,106,135,84,59.609.100,14.854.100,181.008,Rp 340.363.000
8,2,KAB. LAMPUNG SELATAN,260,196,260,94,159.359.000,29.142.001,793.557,Rp 1.436.181.000
8,3,KAB. LAMPUNG TENGAH,311,256,311,174,173.930.000,81.620.000,4.917,Rp 61.167.000
8,4,KAB. LAMPUNG TIMUR,264,217,264,166,62.351.300,11.961.470,1.532.304,Rp 2.801.469.600
8,5,KAB. LAMPUNG UTARA,247,170,247,225,147.780.000,29.427.000,194.422,Rp 359.978.200
8,6,KAB. MESUJI,105,92,105,91,32.770.000,5.405.000,340.000,Rp 619.880.000
8,7,KAB. PESAWARAN,149,122,149,138,66.150.000,22.975.040,5,Rp 55.000
8,8,KAB. PESISIR BARAT,118,72,118,67,36.050.000,5.550.000,0,Rp 0
8,9,KAB. PRINGSEWU,131,126,131,94,36.775.000,27.490.000,345.341,Rp 645.511.480
8,10,KAB. TANGGAMUS,302,280,302,243,25.405.000,7.615.000,0,Rp 0
8,11,KAB. TULANG BAWANG,151,110,151,93,43.230.000,18.615.000,94.400,Rp 172.060.000
8,12,KAB. TULANG BAWANG BARAT,103,79,103,69,39.700.000,7.945.090,139.550,Rp 254.327.000
8,13,KAB. WAY KANAN,227,136,227,122,161.650.000,43.490.000,258,Rp 5.875.600
8,14,KOTA BANDAR LAMPUNG,126,125,126,110,93.500.000,60.140.000,1.915,Rp 55.726.000
8,15,KOTA METRO,22,20,22,22,8.350.000,1.720.000,0,Rp 0
9,1,KAB. BANGKA,81,81,81,35,8.150.000,4.875.000,0,Rp 0
9,2,KAB. BANGKA BARAT,66,66,66,66,20.570.200,13.400.030,0,Rp 0
9,3,KAB. BANGKA SELATAN,53,53,53,53,6.400.000,1.840.000,225,Rp 414.000
9,4,KAB. BANGKA TENGAH,63,62,63,59,7.050.000,615.000,0,Rp 0
9,5,KAB. BELITUNG,50,45,49,41,14.470.000,7.025.000,0,Rp 0
9,6,KAB. BELITUNG TIMUR,39,36,39,30,7.400.000,6.200.000,0,Rp 0
9,7,KOTA PANGKAL PINANG,42,42,42,40,390.000,560.000,0,Rp 0
10,1,KAB. BINTAN,51,51,51,47,22.600.000,7.110.000,0,Rp 0
10,2,KAB. KARIMUN,71,52,71,38,6.250.000,280.000,0,Rp 0
10,3,KAB. KEPULAUAN ANAMBAS,42,22,42,7,0,0,0,Rp 0
10,4,KAB. LINGGA,84,50,84,26,7.650.000,2.330.000,0,Rp 0
10,5,KAB. NATUNA,77,55,77,36,4.900.000,1.900.000,0,Rp 0
10,6,KOTA BATAM,64,57,64,9,36.550.000,15.970.000,0,Rp 0
10,7,KOTA TANJUNG PINANG,18,18,18,18,4.550.000,1.930.000,0,Rp 0
11,1,KAB. ADM. KEP. SERIBU,6,6,6,6,0,0,0,Rp 0
11,2,KOTA ADM. JAKARTA BARAT,56,56,56,56,29.500.000,33.510.000,57.452,Rp 709.862.000
11,3,KOTA ADM. JAKARTA PUSAT,44,44,44,44,33.450.000,22.300.000,14.329,Rp 189.557.900
11,4,KOTA ADM. JAKARTA SELATAN,65,65,65,65,46.150.000,16.275.000,52.906,Rp 789.666.859
11,5,KOTA ADM. JAKARTA TIMUR,66,65,65,65,91.200.000,71.470.000,222.165,Rp 2.917.662.300
11,6,KOTA ADM. JAKARTA UTARA,32,31,31,30,95.950.000,85.730.000,5.004,Rp 73.278.000
